date,exception_type,service_id
20190527,2,86_WKD
20190527,2,86_WKD:R
20190527,1,86_HOL
20190704,2,86_WKD
20190704,2,86_WKD:R
20190704,1,86_HOL
20190901,2,87_SUN:L
20190902,2,87_WKD
20190902,2,87_WKD:G
20190902,2,87_WKD:L#6
20190902,2,87_WKD:S
20190902,2,87_WKD:S#6
20190902,1,87_HOL
20191127,2,87_WKD:L#6
20191128,2,87_WKD
20191128,2,87_WKD:G
20191128,2,87_WKD:L#6
20191128,2,87_WKD:S
20191128,2,87_WKD:S#6
20191128,1,87_HOL
20191129,2,87_WKD
20191129,2,87_WKD:G
20191129,2,87_WKD:L=6
20191129,2,87_WKD:S
20191129,2,87_WKD:S=6
20191129,1,87_MWK
20191129,1,87_MWK:R
20191130,2,87_SAT:S
20191130,2,87_SAT:L
20191130,1,87_SAT:R
