route_id,fare_id
8460,c
8461,c
8462,c
8463,c
8464,c
8465,c
8466,c
8467,c
8468,c
8469,c
8470,c
8471,c
8472,c
8473,c
8474,c
8475,c
8476,c
8477,c
8478,c
8479,c
8480,c
8540,c
8481,c
8482,c
8483,c
8484,c
8485,c
8486,c
8487,c
8488,c
8489,c
8490,c
8491,c
8492,c
8493,c
8494,c
8495,c
8496,c
8497,c
8498,c
8499,c
8500,c
8501,c
8502,c
8503,c
8504,c
8505,c
8506,c
8507,c
8508,c
8509,c
8510,c
8511,c
8512,c
8513,c
8514,c
8515,c
8516,c
8517,c
8518,f
8519,f
8520,f
8521,f
8541,c
8542,c
8543,c
8544,c
8545,c
8546,c
8547,c
8548,c
8549,c
8550,c
8551,c
8552,c
8553,c
8554,c
8555,c
8556,c
8557,c
8558,c
8559,c
8560,c
8561,c
8562,c
8563,c
8564,c
8565,c
8566,c
8567,c
8568,c
8569,c
8570,c
8571,c
8572,c
8573,c
8574,c
8575,c
8576,c
8577,c
8578,c
8579,c
8580,c
8581,c
8582,c
8583,c
8584,c
8585,c
8586,c
8587,c
8588,c
8589,c
8590,c
8591,c
8592,c
8593,c
8594,c
8595,c
8596,c
8597,c
8598,c
8599,c
8600,f
8601,f
8602,f
8603,f
