stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,agency_id,jurisdiction_id,location_type,parent_station,relative_position,cardinal_direction,wheelchair_boarding,primary_street,address_range,cross_location
1110,1110,E Dayton & Wisconsin (WB),This EVENT/DETOUR ONLY stop (#1110) is westbound on the 2 block of Dayton St (E) nearside of Wisconsin Ave,43.076428,-89.385920,MMT,CMAD,0,,3,270,1,E Dayton,2,Wisconsin
1111,1111,W Doty & M L K Junior (EB),This EVENT/DETOUR ONLY stop (#1111) is eastbound on the 1 block of Doty St (W) nearside of Martin Luther King Jr Blvd,43.072938,-89.382354,MMT,CMAD,0,,3,90,1,W Doty,1,M L K Junior
1124,1124,S Fairchild & W Main (SB),This EVENT/DETOUR ONLY stop (#1124) is southbound on the 98 block of Fairchild St (S) nearside of Main St (W),43.072467,-89.385273,MMT,CMAD,0,,3,180,1,S Fairchild,98,W Main
1135,1135,N Webster & E Mifflin (NB),This EVENT/DETOUR ONLY stop (#1135) is northbound on the 101 block of Webster St (N) farside of Mifflin St (E),43.077272,-89.383413,MMT,CMAD,0,,1,0,1,N Webster,101,E Mifflin
1140,1140,E Washington & N Webster (WB),This EVENT/DETOUR ONLY stop (#1140) is westbound on the 200 block of E Washington Ave nearside of Webster St (N),43.076390,-89.381930,MMT,CMAD,0,,3,270,1,E Washington,200,N Webster
1146,1146,N Fairchild & W Washington (SB),This EVENT/DETOUR ONLY stop (#1146) is southbound on the 50 block of Fairchild St (N) nearside of W Washington Ave,43.073504,-89.386724,MMT,CMAD,0,,3,180,1,N Fairchild,50,W Washington
1155,1155,S Webster & E Main (NB),This EVENT/DETOUR ONLY stop (#1155) is northbound on the 99 block of Webster St (S) farside of Main St (E),43.075579,-89.381192,MMT,CMAD,0,,1,0,1,S Webster,99,E Main
1174,1174,W Dayton & State (WB),This EVENT/DETOUR ONLY stop (#1174) is westbound on the 198 block of Dayton St (W) nearside of State St,43.075120,-89.387855,MMT,CMAD,0,,3,270,1,W Dayton,198,State
1189,1189,E Doty & S Pinckney (EB),This EVENT/DETOUR ONLY stop (#1189) is eastbound on the 101 block of Doty St (E) nearside of Pinckney St (S),43.074111,-89.380724,MMT,CMAD,0,,3,90,1,E Doty,101,S Pinckney
4000,SoTP,South Transfer Point,The South Transfer Point station is located at 2430 Park St (S) - just north of Badger Rd (W),43.038957,-89.394651,MMT,MTSM,1,,5,,1,South Transfer Point,2430,S Park
4100,4100,South Transfer Point,This stop (#4100) is on the pedestrian island at the South Transfer Point station,43.038895,-89.394824,MMT,MTSM,0,4000,5,,1,South Transfer Point,2430,S Park
5000,NoTP,North Transfer Point,The North Transfer Point station is located at 1213 Huxley St - just south of Aberg Av,43.112918,-89.358526,MMT,MTSM,1,,5,,1,North Transfer Point,1213,Huxley
5100,5100,North Transfer Point,This stop (#5100) is on the pedestrian island at the North Transfer Point station,43.113253,-89.358540,MMT,MTSM,0,5000,5,,1,North Transfer Point,1213,Huxley
6000,WeTP,West Transfer Point,The West Transfer Point station is located at 5700 Tokay Blvd - just west of Whitney Way,43.053863,-89.475454,MMT,MTSM,1,,5,,1,West Transfer Point,5700,Tokay
6100,6100,West Transfer Point,This stop (#6100) is on the pedestrian island at the West Transfer Point station,43.053883,-89.475098,MMT,MTSM,0,6000,5,,1,West Transfer Point,5700,Tokay
7000,EaTP,East Transfer Point,The East Transfer Point station is located at 102 Corporate Dr (W) - just north of Milwaukee St,43.098624,-89.322251,MMT,MTSM,1,,5,,1,East Transfer Point,102,W Corporate
7100,7100,East Transfer Point,This stop (#7100) is on the pedestrian island at the East Transfer Point station,43.098619,-89.322148,MMT,MTSM,0,7000,5,,1,East Transfer Point,102,W Corporate
9000,9800,East Towne Mall,The East Towne Mall station is located eastbound at 89 E Towne Mall - just southeast of E Towne Blvd and Independence Ln,43.126161,-89.307135,MMT,PRIV,1,,5,90,1,East Towne Mall,89,E Towne
9800,9800,E Towne Mall & Shelter (EB),This stop (#9800) is eastbound on the pedestrian island at East Towne Mall,43.126576,-89.306961,MMT,PRIV,0,9000,5,90,1,East Towne Mall,89,E Towne
5,0005,W Dayton & N Orchard (EB),This stop (#0005) is eastbound on the 1299 block of Dayton St (W) farside Orchard St (N),43.070947,-89.406982,MMT,CMAD,0,,1,90,1,W Dayton,1299,N Orchard
10,0010,Langdon & N Park (WB),This stop (#0010) is westbound on the 898 block of Langdon St nearside Park St (N),43.075933,-89.400154,MMT,CMAD,0,,3,270,1,Langdon,898,N Park
25,0025,Langdon & N Lake (EB),This stop (#0025) is eastbound on the 699 block of Langdon St farside Lake St (N),43.075691,-89.396944,MMT,CMAD,0,,1,90,1,Langdon,699,N Lake
39,0039,N Lake & W Johnson (NB),This stop (#0039) is northbound on the 299 block of Lake St (N) nearside Johnson St (W),43.071895,-89.397341,MMT,CMAD,0,,3,0,1,N Lake,299,W Johnson
45,0045,Langdon & N Carroll (EB),This stop (#0045) is eastbound on the 99 block of Langdon St farside Carroll St (N),43.078482,-89.38982,MMT,CMAD,0,,1,90,0,Langdon,99,N Carroll
47,0047,Babcock & Linden (NB),This stop (#0047) is northbound on the 499 block of Babcock Dr nearside Linden Dr,43.074636,-89.412598,MMT,UWIS,0,,3,0,1,Babcock,499,Linden
49,0049,N Lake & Langdon (NB),This stop (#0049) is northbound on the 599 block of Lake St (N) nearside Langdon St,43.075529,-89.397191,MMT,CMAD,0,,3,0,1,N Lake,599,Langdon
50,0050,Spring & N Brooks (WB),This stop (#0050) is westbound on the 998 block of Spring St nearside Brooks St (N),43.069442,-89.402267,MMT,CMAD,0,,3,270,1,Spring,998,N Brooks
52,0052,Observatory & N Charter (WB),This stop (#0052) is westbound on the 1198 block of Observatory Dr nearside Charter St (N),43.076131,-89.40566,MMT,UWIS,0,,3,270,1,Observatory,1198,N Charter
53,0053,Observatory & North Hall (EB),This stop (#0053) is eastbound on the 1099 block of Observatory Dr adjacent North Hall,43.075781,-89.403882,MMT,UWIS,0,,2,90,1,Observatory,1099,North Hall
54,0054,Spring & N Mills (WB),This stop (#0054) is westbound on the 1098 block of Spring St nearside Mills St (N),43.06947,-89.403872,MMT,CMAD,0,,3,270,1,Spring,1098,N Mills
56,0056,Observatory & Liz Waters (WB),This stop (#0056) is westbound on the 1300 block of Observatory Dr adjacent Elizabeth Waters Hall,43.07665,-89.407141,MMT,UWIS,0,,2,270,1,Observatory,1300,Liz Waters
60,0060,Observatory & Bascom (WB),This stop (#0060) is westbound on the 1100 block of Observatory Dr adjacent Bascom Hall,43.075996,-89.40366,MMT,UWIS,0,,2,270,1,Observatory,1100,Bascom
61,0061,W Dayton & N Mills (EB),This stop (#0061) is eastbound on the 1099 block of Dayton St (W) farside Mills St (N),43.070893,-89.403698,MMT,CMAD,0,,1,90,1,W Dayton,1099,N Mills
68,0068,N Lake & W Johnson (SB),This stop (#0068) is southbound on the 300 block of Lake St (N) nearside Johnson St (W),43.072172,-89.397625,MMT,CMAD,0,,3,180,1,N Lake,300,W Johnson
70,0070,N Park & Lathrop (SB),This stop (#0070) is southbound on the 500 block of Park St (N) nearside Lathrop Dr,43.07433,-89.400784,MMT,CMAD,0,,3,180,1,N Park,500,Lathrop
75,0075,W Dayton & N Park (EB),This stop (#0075) is eastbound on the 899 block of Dayton St (W) farside Park St (N),43.070839,-89.40002,MMT,CMAD,0,,1,90,1,W Dayton,899,N Park
87,0087,N Broom & W Gorham (NB),This stop (#0087) is northbound on the 399 block of Broom St (N) nearside Gorham St (W),43.07415,-89.392328,MMT,CMAD,0,,3,0,1,N Broom,399,W Gorham
89,0089,Langdon & N Henry (EB),This stop (#0089) is eastbound on the 199 block of Langdon St farside Henry St (N),43.076844,-89.392142,MMT,CMAD,0,,1,90,1,Langdon,199,N Henry
96,0096,Wisconsin & W Gorham (SB),This stop (#0096) is southbound on the 400 block of Wisconsin Ave nearside Gorham St (W),43.077515,-89.388055,MMT,CMAD,0,,3,180,0,Wisconsin,400,W Gorham
99,0099,Langdon & N Park (EB),This stop (#0099) is eastbound on the 899 block of Langdon St farside Park St (N),43.075745,-89.400179,MMT,CMAD,0,,1,90,1,Langdon,899,N Park
100,0100,University & N Park (WB),This stop (#0100) is westbound on the 900 block of University Ave farside Park St (N),43.073399,-89.401365,MMT,CMAD,0,,1,270,1,University,900,N Park
104,0104,N Mills & W Dayton (SB),This stop (#0104) is southbound on the 200 block of Mills St (N) nearside Dayton St (W),43.071144,-89.404229,MMT,CMAD,0,,3,180,1,N Mills,200,W Dayton
107,0107,S Park & W Olin (NB),This stop (#0107) is northbound on the 1117 block of Park St (S) farside Olin Ave (W),43.054383,-89.396533,MMT,CMAD,0,,1,0,1,S Park,1117,W Olin
110,0110,Gilson & Beld (WB),This stop (#0110) is westbound on the 1698 block of Gilson St nearside Beld St,43.049924,-89.392561,MMT,CMAD,0,,3,270,0,Gilson,1698,Beld
113,0113,W Washington & Brittingham (EB),This stop (#0113) is eastbound on the 801 block of W Washington Ave adjacent Brittingham Park,43.06501,-89.397603,MMT,CMAD,0,,2,90,1,W Washington,801,Brittingham
115,0115,N Park & Regent (NB),This stop (#0115) is northbound on the 21 block of Park St (N) farside Regent St,43.067983,-89.400724,MMT,CMAD,0,,1,0,1,N Park,21,Regent
121,0121,W Badger & Fiedler (EB),This stop (#0121) is eastbound on the 1099 block of Badger Rd (W) farside Fiedler Ln,43.038466,-89.401117,MMT,TMAD,0,,1,90,1,W Badger,1099,Fiedler
