table_name,field_name,language,translation,record_id,record_sub_id,field_value
agency,agency_url,es,http://www.cityofmadison.com/es/metro/,,,http://www.mymetrobus.com/
agency,agency_fare_url,es,https://www.cityofmadison.com/es/metro/tarifas,,,http://www.cityofmadison.com/metro/fares/
agency,bike_policy_url,es,https://www.cityofmadison.com/es/metro/como-viajar/rejillas-para-bicicletas,,,http://www.cityofmadison.com/metro/how-to-ride/bike-racks/
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-1,,,http://www.cityofmadison.com/metro/routes-schedules/route-1
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-2,,,http://www.cityofmadison.com/metro/routes-schedules/route-2
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-3,,,http://www.cityofmadison.com/metro/routes-schedules/route-3
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-4,,,http://www.cityofmadison.com/metro/routes-schedules/route-4
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-5,,,http://www.cityofmadison.com/metro/routes-schedules/route-5
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-6,,,http://www.cityofmadison.com/metro/routes-schedules/route-6
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-7,,,http://www.cityofmadison.com/metro/routes-schedules/route-7
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-8,,,http://www.cityofmadison.com/metro/routes-schedules/route-8
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-10,,,http://www.cityofmadison.com/metro/routes-schedules/route-10
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-11,,,http://www.cityofmadison.com/metro/routes-schedules/route-11
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-12,,,http://www.cityofmadison.com/metro/routes-schedules/route-12
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-13,,,http://www.cityofmadison.com/metro/routes-schedules/route-13
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-14,,,http://www.cityofmadison.com/metro/routes-schedules/route-14
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-15,,,http://www.cityofmadison.com/metro/routes-schedules/route-15
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-16,,,http://www.cityofmadison.com/metro/routes-schedules/route-16
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-17,,,http://www.cityofmadison.com/metro/routes-schedules/route-17
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-18,,,http://www.cityofmadison.com/metro/routes-schedules/route-18
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-19,,,http://www.cityofmadison.com/metro/routes-schedules/route-19
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-20,,,http://www.cityofmadison.com/metro/routes-schedules/route-20
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-21,,,http://www.cityofmadison.com/metro/routes-schedules/route-21
routes,route_url,es,https://www.cityofmadison.com/es/metro/rutas-horarios/ruta-22,,,http://www.cityofmadison.com/metro/routes-schedules/route-22
