route_id,route_short_name,service_id,trip_id,trip_headsign,direction_id,direction_name,block_id,shape_id,shape_code,trip_type,trip_sort,wheelchair_accessible,bikes_allowed
8460,01,87_WKD,894620,CAPITOL SQUARE,0,Capitol Square,184709,51841,1E,,35760,1,1
8460,01,87_WKD,894619,CAPITOL SQUARE,0,Capitol Square,184708,51841,1E,,39360,1,1
8460,01,87_WKD,894618,CAPITOL SQUARE,0,Capitol Square,184709,51841,1E,,42960,1,1
8460,01,87_WKD,894617,CAPITOL SQUARE,0,Capitol Square,184708,51841,1E,,46560,1,1
8460,01,87_WKD,894616,CAPITOL SQUARE,0,Capitol Square,184709,51841,1E,,50160,1,1
8460,01,87_WKD,894615,CAPITOL SQUARE,0,Capitol Square,184708,51841,1E,,53760,1,1
8460,01,87_WKD,894621,OLD UNIVERSITY: VIA CAMPUS,1,University,184709,51842,1W,,34560,1,1
8460,01,87_WKD,894622,OLD UNIVERSITY: VIA CAMPUS,1,University,184708,51842,1W,,38160,1,1
8460,01,87_WKD,894623,OLD UNIVERSITY: VIA CAMPUS,1,University,184709,51842,1W,,41760,1,1
8460,01,87_WKD,894624,OLD UNIVERSITY: VIA CAMPUS,1,University,184708,51842,1W,,45360,1,1
8460,01,87_WKD,894625,OLD UNIVERSITY: VIA CAMPUS,1,University,184709,51842,1W,,48960,1,1
8460,01,87_WKD,894626,OLD UNIVERSITY: VIA CAMPUS,1,University,184708,51842,1W,,52560,1,1
8461,02,87_WKD,904859,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184714,51845,2S,C,19800,1,1
8461,02,87_WKD,904858,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184715,51843,2F,C,21600,1,1
8461,02,87_WKD,904846,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184727,51843,2F,,22500,1,1
8461,02,87_WKD,904832,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184731,51845,2S,,23400,1,1
8461,02,87_WKD,904845,CAPITOL SQUARE,0,North Transfer,184728,51844,2Q,,24300,1,1
8461,02,87_WKD,904857,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184716,51843,2F,,25200,1,1
8461,02,87_WKD,904844,CAPITOL SQUARE,0,North Transfer,184729,51844,2Q,,26100,1,1
8461,02,87_WKD,904833,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184720,51845,2S,,27000,1,1
8461,02,87_WKD,904818,CAPITOL SQUARE,0,North Transfer,184715,51844,2Q,,27900,1,1
8461,02,87_WKD,904856,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184717,51843,2F,,28800,1,1
8461,02,87_WKD,904817,CAPITOL SQUARE,0,North Transfer,184739,51844,2Q,,29700,1,1
8461,02,87_WKD,904834,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184733,51845,2S,,30600,1,1
8461,02,87_WKD,904819,CAPITOL SQUARE,0,North Transfer,184738,51844,2Q,,31500,1,1
8461,02,87_WKD,904855,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184718,51843,2F,,32400,1,1
8461,02,87_WKD,904816,CAPITOL SQUARE,0,North Transfer,184740,51844,2Q,,33300,1,1
8461,02,87_WKD,904835,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184732,51845,2S,,34200,1,1
8461,02,87_WKD,904854,NORTH TRANSFER: VIA FORDEM,0,North Transfer,185674,51843,2F,,36000,1,1
8461,02,87_WKD,904836,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184719,51845,2S,,37800,1,1
8461,02,87_WKD,904853,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184716,51843,2F,,39600,1,1
8461,02,87_WKD,904837,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184720,51845,2S,,41400,1,1
8461,02,87_WKD,904820,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184731,51843,2F,,43200,1,1
8461,02,87_WKD,904838,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184733,51845,2S,,45000,1,1
8461,02,87_WKD,904821,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184718,51843,2F,,46800,1,1
8461,02,87_WKD,904839,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184717,51845,2S,,48600,1,1
8461,02,87_WKD,904822,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184737,51843,2F,,50400,1,1
8461,02,87_WKD,904840,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185674,51845,2S,,52200,1,1
8461,02,87_WKD,904823,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184716,51845,2S,,54000,1,1
8461,02,87_WKD,904815,CAPITOL SQUARE,0,North Transfer,184741,51844,2Q,,54900,1,1
8461,02,87_WKD,904841,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184730,51845,2S,,55800,1,1
8461,02,87_WKD,904814,CAPITOL SQUARE,0,North Transfer,185657,51844,2Q,,56700,1,1
8461,02,87_WKD,904824,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184732,51845,2S,,57600,1,1
8461,02,87_WKD,904813,CAPITOL SQUARE,0,North Transfer,185656,51844,2Q,,58500,1,1
8461,02,87_WKD,904842,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184731,51845,2S,,59400,1,1
8461,02,87_WKD,904812,CAPITOL SQUARE,0,North Transfer,184741,51844,2Q,,60300,1,1
8461,02,87_WKD,904825,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184725,51845,2S,,61200,1,1
8461,02,87_WKD,904811,CAPITOL SQUARE,0,North Transfer,185657,51844,2Q,,62100,1,1
8461,02,87_WKD,904843,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,184733,51845,2S,,63000,1,1
8461,02,87_WKD,904810,CAPITOL SQUARE,0,North Transfer,185656,51844,2Q,,63900,1,1
8461,02,87_WKD,904826,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184726,51843,2F,,64800,1,1
8461,02,87_WKD,904809,CAPITOL SQUARE,0,North Transfer,184741,51844,2Q,,65700,1,1
8461,02,87_WKD,904852,NORTH TRANSFER: VIA SHERMAN,0,North Transfer,185680,51845,2S,,66600,1,1
8461,02,87_WKD,904808,CAPITOL SQUARE,0,North Transfer,185657,51844,2Q,,67500,1,1
8461,02,87_WKD,904827,NORTH TRANSFER: VIA FORDEM,0,North Transfer,184736,51843,2F,,68400,1,1
